TF,AHR,ASXL1,BACH2,BATF,BCL2,BHLHE40,BRD4,BRD7,CBLB,CREM,DNMT3A,EOMES,ETS1,EZH2,FOS,FOXO1,FOXO3,FOXP1,GATA3,HAVCR2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC6,ID2,IKZF1,IKZF2,IKZF3,IRF4,IRF9,JUN,JUNB,KLF2,KLF7,KLHL22,LEF1,MAF,MDM2,MYB,MYC,NFATC1,NFATC2,NFATC3,NR4A2,NR4A3,PIM2,PRDM1,RBPJ,RUNX1,RUNX3,SIRT2,SOX4,STAT3,STAT5A,STAT5B,TBX21,TCF7,TET2,TOX,TOX2,TRIM21,ZEB1,ZEB2
AHR,1.0,0.7090909090909091,0.7575757575757576,-0.6242424242424243,0.07878787878787878,0.3696969696969697,0.12727272727272726,0.05454545454545454,-0.030303030303030304,0.34545454545454546,0.09090909090909091,-0.5878787878787879,-0.7333333333333333,-0.07878787878787878,0.6242424242424243,0.9515151515151515,0.22424242424242424,0.6727272727272727,0.7090909090909091,-0.7575757575757576,-0.6242424242424243,-0.4303030303030303,-0.10303030303030303,0.45454545454545453,-0.3333333333333333,-0.2,-0.18787878787878787,0.09090909090909091,-0.6727272727272727,0.44242424242424244,-0.4303030303030303,0.3575757575757576,0.3939393939393939,-0.12727272727272726,0.6484848484848484,-0.2,0.4666666666666667,0.006060606060606061,0.16363636363636364,-0.006060606060606061,0.5757575757575758,0.05454545454545454,-0.38181818181818183,-0.7333333333333333,0.41818181818181815,0.4666666666666667,-0.030303030303030304,-0.3333333333333333,0.7696969696969697,-0.44242424242424244,0.09090909090909091,-0.5393939393939394,0.18787878787878787,0.3212121212121212,0.38181818181818183,0.12727272727272726,-0.6363636363636364,0.4909090909090909,0.23636363636363636,-0.41818181818181815,-0.04242424242424243,-0.8181818181818182,0.7696969696969697,-0.15151515151515152
ASXL1,0.7090909090909091,1.0,0.5151515151515151,-0.3212121212121212,-0.5151515151515151,0.6727272727272727,0.6727272727272727,0.5636363636363636,0.5515151515151515,0.15151515151515152,0.3212121212121212,-0.3939393939393939,-0.7212121212121212,0.5757575757575758,0.17575757575757575,0.7696969696969697,-0.22424242424242424,0.18787878787878787,0.40606060606060607,-0.22424242424242424,-0.12727272727272726,0.15151515151515152,0.4909090909090909,0.28484848484848485,-0.296969696969697,-0.5515151515151515,-0.4909090909090909,0.3575757575757576,-0.11515151515151516,0.793939393939394,-0.7696969696969697,-0.11515151515151516,-0.2606060606060606,-0.696969696969697,0.09090909090909091,-0.5393939393939394,0.006060606060606061,-0.296969696969697,0.7212121212121212,0.4909090909090909,0.1393939393939394,0.05454545454545454,0.05454545454545454,-0.3696969696969697,0.24848484848484848,0.45454545454545453,-0.3090909090909091,0.006060606060606061,0.41818181818181815,0.006060606060606061,0.22424242424242424,-0.18787878787878787,0.4303030303030303,0.38181818181818183,0.8303030303030303,-0.21212121212121213,-0.3575757575757576,-0.07878787878787878,0.7818181818181819,0.12727272727272726,0.5151515151515151,-0.3090909090909091,0.9030303030303031,0.16363636363636364
BACH2,0.7575757575757576,0.5151515151515151,1.0,-0.6484848484848484,0.12727272727272726,0.4303030303030303,0.11515151515151516,0.24848484848484848,0.04242424242424243,0.7090909090909091,0.2,-0.6727272727272727,-0.5636363636363636,-0.18787878787878787,0.5515151515151515,0.7333333333333333,0.12727272727272726,0.7818181818181819,0.6121212121212121,-0.5515151515151515,-0.7333333333333333,-0.5636363636363636,-0.12727272727272726,0.3939393939393939,-0.7212121212121212,-0.030303030303030304,-0.3575757575757576,0.40606060606060607,-0.5393939393939394,0.18787878787878787,-0.3939393939393939,0.2727272727272727,0.5757575757575758,0.10303030303030303,0.38181818181818183,-0.296969696969697,0.503030303030303,-0.09090909090909091,0.07878787878787878,-0.17575757575757575,0.3212121212121212,-0.06666666666666667,-0.45454545454545453,-0.6848484848484848,0.8303030303030303,0.793939393939394,0.15151515151515152,-0.12727272727272726,0.3212121212121212,-0.5515151515151515,0.4303030303030303,-0.24848484848484848,0.5393939393939394,0.5878787878787879,0.2727272727272727,-0.10303030303030303,-0.3212121212121212,0.5878787878787879,0.3212121212121212,-0.28484848484848485,-0.16363636363636364,-0.7575757575757576,0.7696969696969697,-0.07878787878787878
BATF,-0.6242424242424243,-0.3212121212121212,-0.6484848484848484,1.0,-0.06666666666666667,-0.1393939393939394,-0.030303030303030304,-0.18787878787878787,0.17575757575757575,-0.47878787878787876,0.3939393939393939,0.40606060606060607,0.5151515151515151,0.3090909090909091,-0.5393939393939394,-0.44242424242424244,-0.10303030303030303,-0.793939393939394,-0.47878787878787876,0.7090909090909091,0.7818181818181819,0.6484848484848484,0.07878787878787878,-0.1393939393939394,0.503030303030303,-0.16363636363636364,-0.030303030303030304,0.24848484848484848,0.696969696969697,0.18787878787878787,0.10303030303030303,-0.44242424242424244,-0.5878787878787879,-0.11515151515151516,-0.6363636363636364,0.3090909090909091,-0.47878787878787876,-0.09090909090909091,0.12727272727272726,0.44242424242424244,-0.44242424242424244,-0.21212121212121213,0.3212121212121212,0.7090909090909091,-0.5272727272727272,-0.5515151515151515,0.22424242424242424,0.09090909090909091,-0.47878787878787876,0.8787878787878788,-0.44242424242424244,0.18787878787878787,-0.38181818181818183,-0.40606060606060607,-0.06666666666666667,-0.2606060606060606,0.34545454545454546,-0.6606060606060606,-0.12727272727272726,0.5272727272727272,0.4303030303030303,0.8424242424242424,-0.503030303030303,-0.006060606060606061
BCL2,0.07878787878787878,-0.5151515151515151,0.12727272727272726,-0.06666666666666667,1.0,-0.3575757575757576,-0.6484848484848484,-0.6242424242424243,-0.7696969696969697,0.15151515151515152,-0.04242424242424243,-0.24848484848484848,0.2,-0.6848484848484848,0.3696969696969697,0.01818181818181818,0.4303030303030303,0.44242424242424244,0.15151515151515152,-0.4666666666666667,-0.4303030303030303,-0.6121212121212121,-0.7696969696969697,0.28484848484848485,0.07878787878787878,0.16363636363636364,0.45454545454545453,-0.3333333333333333,-0.44242424242424244,-0.5515151515151515,0.5151515151515151,0.45454545454545453,0.6727272727272727,0.8303030303030303,0.5515151515151515,0.45454545454545453,0.5878787878787879,0.3575757575757576,-0.5515151515151515,-0.41818181818181815,0.09090909090909091,0.16363636363636364,-0.28484848484848485,-0.2727272727272727,0.05454545454545454,-0.11515151515151516,0.5636363636363636,-0.24848484848484848,-0.05454545454545454,-0.22424242424242424,-0.17575757575757575,-0.44242424242424244,-0.1393939393939394,-0.04242424242424243,-0.8303030303030303,0.503030303030303,-0.3212121212121212,0.5878787878787879,-0.7090909090909091,-0.18787878787878787,-0.4909090909090909,-0.28484848484848485,-0.3090909090909091,-0.4303030303030303
BHLHE40,0.3696969696969697,0.6727272727272727,0.4303030303030303,-0.1393939393939394,-0.3575757575757576,1.0,0.696969696969697,0.7575757575757576,0.5151515151515151,0.6121212121212121,0.11515151515151516,-0.7333333333333333,-0.40606060606060607,0.296969696969697,0.28484848484848485,0.503030303030303,0.16363636363636364,0.18787878787878787,0.3696969696969697,0.18787878787878787,-0.23636363636363636,0.23636363636363636,0.3575757575757576,-0.11515151515151516,-0.2727272727272727,-0.11515151515151516,-0.40606060606060607,0.6606060606060606,0.2606060606060606,0.6242424242424243,-0.8424242424242424,-0.1393939393939394,-0.3333333333333333,-0.44242424242424244,-0.22424242424242424,-0.8303030303030303,-0.40606060606060607,0.11515151515151516,0.806060606060606,0.04242424242424243,-0.296969696969697,-0.4666666666666667,0.23636363636363636,-0.10303030303030303,0.5393939393939394,0.7090909090909091,-0.5393939393939394,0.45454545454545453,0.01818181818181818,0.12727272727272726,0.6484848484848484,0.28484848484848485,0.22424242424242424,0.6848484848484848,0.503030303030303,-0.6121212121212121,0.1393939393939394,-0.3696969696969697,0.7454545454545455,0.34545454545454546,0.12727272727272726,-0.1393939393939394,0.6121212121212121,0.6363636363636364
BRD4,0.12727272727272726,0.6727272727272727,0.11515151515151516,-0.030303030303030304,-0.6484848484848484,0.696969696969697,1.0,0.9151515151515152,0.9030303030303031,0.09090909090909091,0.34545454545454546,-0.11515151515151516,-0.11515151515151516,0.7454545454545455,-0.05454545454545454,0.2606060606060606,-0.10303030303030303,-0.17575757575757575,0.030303030303030304,0.40606060606060607,0.22424242424242424,0.5757575757575758,0.5272727272727272,0.006060606060606061,0.10303030303030303,-0.3090909090909091,-0.24848484848484848,0.5151515151515151,0.5272727272727272,0.4909090909090909,-0.6,-0.16363636363636364,-0.5393939393939394,-0.806060606060606,-0.503030303030303,-0.7212121212121212,-0.4909090909090909,-0.44242424242424244,0.8909090909090909,0.38181818181818183,-0.5393939393939394,-0.06666666666666667,0.5878787878787879,0.296969696969697,0.1393939393939394,0.4666666666666667,-0.5878787878787879,0.6727272727272727,-0.12727272727272726,0.3090909090909091,0.6,0.45454545454545453,0.41818181818181815,0.296969696969697,0.6606060606060606,-0.3696969696969697,0.34545454545454546,-0.5515151515151515,0.9030303030303031,0.6,0.503030303030303,0.23636363636363636,0.45454545454545453,0.7212121212121212
BRD7,0.05454545454545454,0.5636363636363636,0.24848484848484848,-0.18787878787878787,-0.6242424242424243,0.7575757575757576,0.9151515151515152,1.0,0.8181818181818182,0.34545454545454546,0.1393939393939394,-0.2727272727272727,-0.17575757575757575,0.5757575757575758,-0.06666666666666667,0.15151515151515152,-0.11515151515151516,-0.05454545454545454,0.006060606060606061,0.41818181818181815,0.05454545454545454,0.41818181818181815,0.5757575757575758,-0.21212121212121213,-0.15151515151515152,-0.1393939393939394,-0.38181818181818183,0.5515151515151515,0.4666666666666667,0.3575757575757576,-0.6484848484848484,-0.24848484848484848,-0.4303030303030303,-0.6606060606060606,-0.5151515151515151,-0.8545454545454545,-0.503030303030303,-0.34545454545454546,0.793939393939394,0.15151515151515152,-0.5393939393939394,-0.22424242424242424,0.41818181818181815,0.17575757575757575,0.3696969696969697,0.6363636363636364,-0.6363636363636364,0.6848484848484848,-0.2606060606060606,0.10303030303030303,0.793939393939394,0.5515151515151515,0.503030303030303,0.44242424242424244,0.5878787878787879,-0.5393939393939394,0.44242424242424244,-0.4666666666666667,0.8666666666666667,0.4909090909090909,0.296969696969697,0.11515151515151516,0.45454545454545453,0.7818181818181819
CBLB,-0.030303030303030304,0.5515151515151515,0.04242424242424243,0.17575757575757575,-0.7696969696969697,0.5151515151515151,0.9030303030303031,0.8181818181818182,1.0,-0.04242424242424243,0.4303030303030303,0.12727272727272726,0.006060606060606061,0.7696969696969697,-0.24848484848484848,0.1393939393939394,-0.17575757575757575,-0.3696969696969697,-0.06666666666666667,0.5636363636363636,0.41818181818181815,0.6484848484848484,0.5878787878787879,-0.030303030303030304,0.10303030303030303,-0.23636363636363636,-0.3939393939393939,0.6484848484848484,0.6121212121212121,0.503030303030303,-0.503030303030303,-0.3090909090909091,-0.5757575757575758,-0.8303030303030303,-0.7212121212121212,-0.503030303030303,-0.5636363636363636,-0.6,0.7333333333333333,0.4666666666666667,-0.4666666666666667,-0.15151515151515152,0.45454545454545453,0.4303030303030303,0.07878787878787878,0.3333333333333333,-0.41818181818181815,0.5636363636363636,-0.17575757575757575,0.38181818181818183,0.44242424242424244,0.5272727272727272,0.3696969696969697,0.09090909090909091,0.7575757575757576,-0.4909090909090909,0.503030303030303,-0.6242424242424243,0.8303030303030303,0.5515151515151515,0.6,0.3939393939393939,0.3212121212121212,0.6242424242424243
CREM,0.34545454545454546,0.15151515151515152,0.7090909090909091,-0.47878787878787876,0.15151515151515152,0.6121212121212121,0.09090909090909091,0.34545454545454546,-0.04242424242424243,1.0,-0.1393939393939394,-0.793939393939394,-0.18787878787878787,-0.45454545454545453,0.6484848484848484,0.3575757575757576,0.4303030303030303,0.7090909090909091,0.5515151515151515,-0.15151515151515152,-0.7696969696969697,-0.4303030303030303,-0.23636363636363636,-0.006060606060606061,-0.6242424242424243,0.45454545454545453,-0.10303030303030303,0.503030303030303,-0.16363636363636364,-0.030303030303030304,-0.3333333333333333,0.3212121212121212,0.4303030303030303,0.3212121212121212,0.11515151515151516,-0.4909090909090909,0.06666666666666667,0.41818181818181815,0.09090909090909091,-0.6121212121212121,-0.006060606060606061,-0.44242424242424244,-0.15151515151515152,-0.3575757575757576,0.9515151515151515,0.8787878787878788,-0.16363636363636364,0.296969696969697,0.05454545454545454,-0.45454545454545453,0.7212121212121212,0.2727272727272727,0.21212121212121213,0.8303030303030303,-0.05454545454545454,-0.34545454545454546,0.15151515151515152,0.2727272727272727,0.2606060606060606,-0.1393939393939394,-0.5636363636363636,-0.5272727272727272,0.3939393939393939,0.34545454545454546
