TF,AHR,ASXL1,BACH2,BATF,BCL2,BHLHE40,BRD4,BRD7,CBLB,CREM,DNMT3A,EOMES,ETS1,EZH2,FOS,FOXO1,FOXO3,FOXP1,GATA3,HAVCR2,HDAC1,HDAC2,HDAC3,HDAC4,ID2,IKZF1,IKZF2,IKZF3,IRF9,JUN,JUNB,KLF2,KLF7,KLHL22,LEF1,MAF,MDM2,NFATC1,NFATC2,NFATC3,NR4A2,NR4A3,PIM2,PRDM1,RBPJ,RUNX1,RUNX3,SIRT2,STAT3,STAT5A,STAT5B,TBX21,TCF7,TET2,TOX,ZEB1,ZEB2
AHR,1.0,0.6363636363636364,0.6848484848484848,-0.1393939393939394,0.6484848484848484,0.01818181818181818,0.40606060606060607,-0.5393939393939394,-0.296969696969697,0.6848484848484848,0.3090909090909091,-0.45454545454545453,0.34545454545454546,0.3575757575757576,0.9272727272727272,0.7696969696969697,0.4666666666666667,0.6848484848484848,0.8545454545454545,-0.5757575757575758,-0.5515151515151515,-0.2727272727272727,0.1393939393939394,0.696969696969697,-0.01818181818181818,-0.006060606060606061,-0.05454545454545454,-0.6242424242424243,0.23636363636363636,0.8666666666666667,0.7333333333333333,0.9151515151515152,0.8181818181818182,0.6484848484848484,0.7454545454545455,0.6,0.5515151515151515,0.45454545454545453,-0.12727272727272726,-0.5757575757575758,0.47878787878787876,0.5515151515151515,0.696969696969697,-0.15151515151515152,0.8545454545454545,-0.1393939393939394,0.17575757575757575,-0.2727272727272727,0.8909090909090909,0.28484848484848485,0.8303030303030303,-0.5636363636363636,0.6121212121212121,0.01818181818181818,-0.23636363636363636,0.7212121212121212,-0.7575757575757576
ASXL1,0.6363636363636364,1.0,0.4303030303030303,0.34545454545454546,0.38181818181818183,0.16363636363636364,0.793939393939394,-0.030303030303030304,0.18787878787878787,0.1393939393939394,0.41818181818181815,0.09090909090909091,0.503030303030303,0.7212121212121212,0.5393939393939394,0.8424242424242424,0.6484848484848484,0.3090909090909091,0.6727272727272727,0.030303030303030304,-0.01818181818181818,0.16363636363636364,0.44242424242424244,0.6727272727272727,0.04242424242424243,-0.11515151515151516,0.40606060606060607,-0.16363636363636364,0.34545454545454546,0.5636363636363636,0.47878787878787876,0.696969696969697,0.3939393939393939,0.6727272727272727,0.5272727272727272,0.2,0.38181818181818183,0.7575757575757576,-0.10303030303030303,-0.21212121212121213,0.11515151515151516,0.296969696969697,0.696969696969697,0.45454545454545453,0.6484848484848484,-0.06666666666666667,0.41818181818181815,0.12727272727272726,0.696969696969697,0.4909090909090909,0.5757575757575758,-0.15151515151515152,0.23636363636363636,0.5515151515151515,0.09090909090909091,0.7090909090909091,-0.44242424242424244
BACH2,0.6848484848484848,0.4303030303030303,1.0,-0.4666666666666667,0.41818181818181815,-0.030303030303030304,0.4666666666666667,-0.5636363636363636,0.17575757575757575,0.2606060606060606,0.12727272727272726,0.05454545454545454,0.296969696969697,0.1393939393939394,0.696969696969697,0.45454545454545453,0.16363636363636364,0.5393939393939394,0.5878787878787879,-0.34545454545454546,-0.24848484848484848,-0.6363636363636364,0.4909090909090909,0.503030303030303,-0.10303030303030303,0.22424242424242424,-0.18787878787878787,-0.5757575757575758,0.07878787878787878,0.8545454545454545,0.5515151515151515,0.7818181818181819,0.7696969696969697,0.503030303030303,0.6121212121212121,0.006060606060606061,0.04242424242424243,0.6242424242424243,0.23636363636363636,-0.4303030303030303,-0.10303030303030303,0.030303030303030304,0.2727272727272727,-0.296969696969697,0.6363636363636364,-0.3939393939393939,0.21212121212121213,-0.3696969696969697,0.5151515151515151,0.5636363636363636,0.7454545454545455,-0.6727272727272727,0.9151515151515152,-0.2727272727272727,-0.5515151515151515,0.7454545454545455,-0.6242424242424243
BATF,-0.1393939393939394,0.34545454545454546,-0.4666666666666667,1.0,0.1393939393939394,0.34545454545454546,0.3939393939393939,0.6848484848484848,0.24848484848484848,-0.3333333333333333,0.6363636363636364,0.3090909090909091,0.6121212121212121,0.41818181818181815,-0.2,0.006060606060606061,0.07878787878787878,-0.24848484848484848,0.05454545454545454,0.5515151515151515,0.4666666666666667,0.6848484848484848,0.07878787878787878,0.3212121212121212,0.04242424242424243,0.04242424242424243,0.6484848484848484,0.7212121212121212,0.45454545454545453,-0.45454545454545453,-0.2,-0.17575757575757575,-0.28484848484848485,0.40606060606060607,-0.06666666666666667,0.1393939393939394,0.3212121212121212,0.21212121212121213,0.11515151515151516,0.5636363636363636,0.11515151515151516,-0.006060606060606061,0.5272727272727272,0.8545454545454545,-0.09090909090909091,0.6121212121212121,-0.05454545454545454,0.3696969696969697,-0.05454545454545454,-0.05454545454545454,0.006060606060606061,0.45454545454545453,-0.5515151515151515,0.9393939393939394,0.8666666666666667,-0.11515151515151516,0.296969696969697
BCL2,0.6484848484848484,0.38181818181818183,0.41818181818181815,0.1393939393939394,1.0,-0.2727272727272727,0.45454545454545453,-0.09090909090909091,-0.40606060606060607,0.21212121212121213,0.6363636363636364,-0.38181818181818183,0.5757575757575758,0.11515151515151516,0.6727272727272727,0.296969696969697,0.3575757575757576,0.7818181818181819,0.4303030303030303,-0.4909090909090909,-0.2727272727272727,-0.030303030303030304,-0.04242424242424243,0.8787878787878788,-0.24848484848484848,0.6606060606060606,0.34545454545454546,-0.24848484848484848,0.8303030303030303,0.4909090909090909,0.5757575757575758,0.5393939393939394,0.503030303030303,0.8424242424242424,0.7696969696969697,0.38181818181818183,0.44242424242424244,0.3575757575757576,0.34545454545454546,-0.11515151515151516,0.07878787878787878,0.23636363636363636,0.6848484848484848,0.28484848484848485,0.3333333333333333,0.47878787878787876,-0.3333333333333333,-0.44242424242424244,0.7090909090909091,-0.2606060606060606,0.8787878787878788,-0.2606060606060606,0.22424242424242424,0.24848484848484848,0.3212121212121212,0.296969696969697,-0.6
BHLHE40,0.01818181818181818,0.16363636363636364,-0.030303030303030304,0.34545454545454546,-0.2727272727272727,1.0,-0.09090909090909091,0.3575757575757576,0.6242424242424243,-0.030303030303030304,0.030303030303030304,0.5151515151515151,0.2606060606060606,0.6606060606060606,-0.01818181818181818,-0.07878787878787878,-0.23636363636363636,-0.6363636363636364,0.05454545454545454,0.6727272727272727,0.5878787878787879,0.24848484848484848,0.6727272727272727,-0.10303030303030303,0.7333333333333333,-0.16363636363636364,-0.07878787878787878,0.4666666666666667,-0.17575757575757575,-0.22424242424242424,-0.2727272727272727,0.21212121212121213,-0.24848484848484848,-0.01818181818181818,-0.45454545454545453,0.05454545454545454,0.15151515151515152,0.3696969696969697,0.296969696969697,0.5393939393939394,0.28484848484848485,0.09090909090909091,0.22424242424242424,0.12727272727272726,0.06666666666666667,-0.01818181818181818,0.5757575757575758,0.806060606060606,-0.16363636363636364,0.5515151515151515,-0.01818181818181818,0.3575757575757576,0.16363636363636364,0.3212121212121212,-0.04242424242424243,-0.10303030303030303,0.47878787878787876
BRD4,0.40606060606060607,0.793939393939394,0.4666666666666667,0.3939393939393939,0.45454545454545453,-0.09090909090909091,1.0,0.07878787878787878,0.2727272727272727,-0.23636363636363636,0.5151515151515151,0.28484848484848485,0.5878787878787879,0.3212121212121212,0.3090909090909091,0.5878787878787879,0.47878787878787876,0.44242424242424244,0.6,0.05454545454545454,0.07878787878787878,-0.01818181818181818,0.3333333333333333,0.6848484848484848,-0.21212121212121213,0.18787878787878787,0.38181818181818183,-0.030303030303030304,0.4909090909090909,0.45454545454545453,0.3090909090909091,0.45454545454545453,0.41818181818181815,0.7454545454545455,0.5636363636363636,-0.1393939393939394,0.18787878787878787,0.7090909090909091,0.17575757575757575,-0.10303030303030303,-0.2727272727272727,-0.17575757575757575,0.5151515151515151,0.5878787878787879,0.5393939393939394,0.10303030303030303,0.21212121212121213,-0.15151515151515152,0.41818181818181815,0.44242424242424244,0.5636363636363636,-0.17575757575757575,0.16363636363636364,0.5393939393939394,0.28484848484848485,0.7212121212121212,-0.3575757575757576
BRD7,-0.5393939393939394,-0.030303030303030304,-0.5636363636363636,0.6848484848484848,-0.09090909090909091,0.3575757575757576,0.07878787878787878,1.0,0.3696969696969697,-0.7696969696969697,0.12727272727272726,0.5636363636363636,0.17575757575757575,0.296969696969697,-0.6242424242424243,-0.45454545454545453,-0.12727272727272726,-0.5393939393939394,-0.5151515151515151,0.7454545454545455,0.8303030303030303,0.6363636363636364,0.16363636363636364,-0.1393939393939394,0.24848484848484848,0.3212121212121212,0.40606060606060607,0.8666666666666667,0.3212121212121212,-0.7090909090909091,-0.5878787878787879,-0.45454545454545453,-0.696969696969697,0.04242424242424243,-0.4303030303030303,-0.44242424242424244,-0.04242424242424243,0.030303030303030304,0.45454545454545453,0.8666666666666667,-0.3696969696969697,-0.4666666666666667,-0.05454545454545454,0.6606060606060606,-0.5636363636363636,0.5757575757575758,0.07878787878787878,0.5515151515151515,-0.47878787878787876,-0.09090909090909091,-0.23636363636363636,0.7454545454545455,-0.5515151515151515,0.6363636363636364,0.6606060606060606,-0.5272727272727272,0.7333333333333333
CBLB,-0.296969696969697,0.18787878787878787,0.17575757575757575,0.24848484848484848,-0.40606060606060607,0.6242424242424243,0.2727272727272727,0.3696969696969697,1.0,-0.5151515151515151,0.09090909090909091,0.9393939393939394,0.3333333333333333,0.44242424242424244,-0.3090909090909091,-0.18787878787878787,-0.38181818181818183,-0.5757575757575758,-0.11515151515151516,0.8181818181818182,0.7818181818181819,-0.04242424242424243,0.8303030303030303,-0.11515151515151516,0.2606060606060606,-0.006060606060606061,0.09090909090909091,0.47878787878787876,-0.2,-0.18787878787878787,-0.2606060606060606,-0.04242424242424243,-0.22424242424242424,0.01818181818181818,-0.3090909090909091,-0.503030303030303,-0.40606060606060607,0.5757575757575758,0.40606060606060607,0.5272727272727272,-0.3212121212121212,-0.38181818181818183,-0.05454545454545454,0.2727272727272727,-0.11515151515151516,-0.24848484848484848,0.41818181818181815,0.4666666666666667,-0.4303030303030303,0.696969696969697,-0.10303030303030303,0.1393939393939394,0.23636363636363636,0.3212121212121212,-0.10303030303030303,0.11515151515151516,0.3939393939393939
CREM,0.6848484848484848,0.1393939393939394,0.2606060606060606,-0.3333333333333333,0.21212121212121213,-0.030303030303030304,-0.23636363636363636,-0.7696969696969697,-0.5151515151515151,1.0,0.05454545454545454,-0.7575757575757576,-0.04242424242424243,0.07878787878787878,0.7090909090909091,0.503030303030303,0.15151515151515152,0.41818181818181815,0.5636363636363636,-0.6727272727272727,-0.7696969696969697,-0.28484848484848485,-0.2,0.23636363636363636,0.006060606060606061,-0.3939393939393939,-0.2727272727272727,-0.696969696969697,-0.2,0.5636363636363636,0.6484848484848484,0.5151515151515151,0.5515151515151515,0.05454545454545454,0.38181818181818183,0.8545454545454545,0.34545454545454546,-0.05454545454545454,-0.5272727272727272,-0.6848484848484848,0.8424242424242424,0.8666666666666667,0.40606060606060607,-0.47878787878787876,0.5636363636363636,-0.34545454545454546,-0.04242424242424243,-0.24848484848484848,0.6363636363636364,-0.06666666666666667,0.28484848484848485,-0.5151515151515151,0.34545454545454546,-0.296969696969697,-0.40606060606060607,0.34545454545454546,-0.6484848484848484
