TF_cluster	TF	UMAP1	UMAP2
0	BCL2	6.3524094	6.207176
0	CBLB	8.304783	7.767689
0	DNMT3A	7.3082223	7.5673175
0	ETS1	7.8393006	7.2459025
0	HDAC4	6.606972	6.7146206
0	IKZF1	7.3711925	6.697664
0	IRF9	7.694938	6.52891
0	KLHL22	7.300998	6.993057
0	NFATC1	6.7746305	6.9986553
0	PIM2	7.0800595	7.2878504
0	STAT5B	7.0019836	6.461361
0	TET2	8.221055	7.3334527
1	BATF	9.349769	7.043542
1	EOMES	9.689041	7.54707
1	HAVCR2	10.026222	7.360612
1	HDAC1	9.787835	7.0503726
1	IKZF2	10.3902235	6.774765
1	IKZF3	10.087409	6.9559355
1	NFATC3	9.795	6.539425
1	PRDM1	8.948357	7.4215765
1	RUNX1	9.8090725	6.1081285
1	TOX	10.266791	6.592758
2	AHR	6.2916045	3.396593
2	BACH2	5.705975	4.301156
2	FOS	6.745862	3.4987211
2	GATA3	6.358079	3.7405732
2	JUN	6.3748384	4.6106706
2	KLF7	5.839118	4.0702047
2	LEF1	5.62535	4.990789
2	RBPJ	5.9844613	3.6220334
2	TCF7	6.254434	5.134729
2	ZEB1	5.669927	4.8076553
3	CREM	7.3602448	3.2620406
3	FOXO1	7.182615	3.866465
3	FOXO3	8.056155	4.145456
3	FOXP1	7.2148895	4.4061966
3	JUNB	6.714685	4.469974
3	KLF2	7.8656454	3.899032
3	MAF	7.4434304	2.882973
3	NR4A2	7.683399	3.315474
3	NR4A3	7.6374793	3.0148954
3	STAT3	7.549623	4.1979933
4	ASXL1	7.854487	6.114044
4	BRD4	7.958921	6.5849257
4	BRD7	8.913979	6.776217
4	EZH2	8.902193	6.148735
4	HDAC2	9.153562	5.9450383
4	HDAC3	8.692882	6.4252925
4	MDM2	8.583288	5.9123054
4	NFATC2	8.404856	6.894363
5	BHLHE40	8.831698	4.830226
5	ID2	8.925755	4.3851
5	RUNX3	8.396439	4.3710475
5	SIRT2	9.227368	4.6241198
5	STAT5A	7.603793	5.3851137
5	TBX21	9.635184	5.28507
5	ZEB2	9.680954	5.1692433
