TF_cluster	TF	UMAP1	UMAP2
0	BCL2	2.7460222	-0.42845318
0	DNMT3A	3.3772798	1.5878701
0	ETS1	4.358569	1.2045364
0	HDAC6	3.9019964	0.9704095
0	ID2	2.905412	0.21507876
0	IKZF1	3.2888052	0.71896017
0	IRF9	3.5914826	0.28543666
0	KLF2	2.932282	-0.19978686
0	KLHL22	4.5353827	0.33856288
0	MAF	1.9774348	-0.185885
0	PIM2	3.969502	-0.0819696
0	STAT5B	2.4129786	0.8839278
1	BATF	5.090221	2.694873
1	EOMES	5.061989	2.8685179
1	HAVCR2	4.683338	4.05718
1	HDAC1	5.085153	2.03501
1	HDAC2	3.824707	3.1181018
1	HDAC3	2.9446392	3.2236416
1	IKZF3	4.494832	3.5535128
1	NFATC3	4.747875	3.1846156
1	RUNX1	3.9698715	2.4247112
1	SIRT2	3.5886688	3.997161
1	TBX21	4.26178	4.329595
1	TRIM21	4.5439043	2.1300552
2	BACH2	-1.2842263	3.6719053
2	BHLHE40	0.8905298	4.642231
2	BRD7	0.45440495	4.2262583
2	CREM	-0.6824644	3.6123822
2	IKZF2	-1.1439612	4.6059895
2	NR4A2	-1.4207256	4.3017983
2	NR4A3	-1.7183696	4.082414
2	RUNX3	-0.25334257	4.455607
2	STAT3	0.31267592	3.4900396
2	TET2	1.1076319	4.0900307
2	ZEB2	0.38277158	5.004844
3	AHR	0.19502747	2.2274375
3	ASXL1	1.1387815	3.1278799
3	FOXO1	0.74726087	1.9149386
3	FOXO3	1.6271571	1.2493494
3	GATA3	0.77723724	1.2251947
3	HDAC4	1.9821314	1.8102387
3	MYC	0.83722675	0.70742834
3	NFATC1	1.7214715	2.296024
3	RBPJ	0.91514045	0.52821785
3	SOX4	0.8523656	2.6449587
3	ZEB1	0.48469603	2.898532
4	BRD4	1.8487115	3.3266218
4	CBLB	2.9550953	4.092734
4	EZH2	1.8293508	4.8436275
4	IRF4	2.4003115	5.0239415
4	MDM2	1.7906121	4.054045
4	MYB	2.134425	5.6522455
4	NFATC2	2.2515006	2.6404934
4	PRDM1	2.4055295	3.472329
4	STAT5A	2.3867018	4.251327
4	TOX	2.9976227	2.6105797
4	TOX2	2.4604366	5.74343
5	FOS	-0.10372308	1.1479702
5	FOXP1	-0.31882253	1.8164437
5	JUN	-0.6207677	1.1145325
5	JUNB	-1.0271598	2.0302396
5	KLF7	-1.0238069	0.8944744
5	LEF1	-1.453616	1.2832037
5	TCF7	-1.4062569	1.7619605
