TF1,TF2,correlation,abs_correlation
MYB,TOX2,0.9757575757575757,0.9757575757575757
HAVCR2,IKZF3,0.9636363636363636,0.9636363636363636
AHR,FOXO1,0.9515151515151515,0.9515151515151515
CREM,NR4A2,0.9515151515151515,0.9515151515151515
LEF1,TCF7,0.9393939393939394,0.9393939393939394
NR4A2,NR4A3,0.9272727272727272,0.9272727272727272
SIRT2,TBX21,0.9272727272727272,0.9272727272727272
BRD4,BRD7,0.9151515151515152,0.9151515151515152
JUNB,TCF7,0.9151515151515152,0.9151515151515152
ASXL1,ZEB1,0.9030303030303031,0.9030303030303031
BRD4,CBLB,0.9030303030303031,0.9030303030303031
BRD4,TET2,0.9030303030303031,0.9030303030303031
IKZF3,NFATC3,0.9030303030303031,0.9030303030303031
BRD4,MDM2,0.8909090909090909,0.8909090909090909
EZH2,TOX2,0.8909090909090909,0.8909090909090909
BATF,RUNX1,0.8787878787878788,0.8787878787878788
CREM,NR4A3,0.8787878787878788,0.8787878787878788
BRD7,TET2,0.8666666666666667,0.8666666666666667
HAVCR2,NFATC3,0.8666666666666667,0.8666666666666667
EZH2,MYB,0.8545454545454545,0.8545454545454545
FOS,FOXP1,0.8545454545454545,0.8545454545454545
FOS,GATA3,0.8545454545454545,0.8545454545454545
FOS,JUN,0.8545454545454545,0.8545454545454545
HDAC2,IKZF3,0.8545454545454545,0.8545454545454545
HDAC2,RUNX1,0.8545454545454545,0.8545454545454545
IKZF3,TRIM21,0.8545454545454545,0.8545454545454545
NFATC1,STAT5B,0.8545454545454545,0.8545454545454545
BATF,TRIM21,0.8424242424242424,0.8424242424242424
HAVCR2,TRIM21,0.8424242424242424,0.8424242424242424
HDAC1,HDAC2,0.8424242424242424,0.8424242424242424
HDAC1,TRIM21,0.8424242424242424,0.8424242424242424
MDM2,TET2,0.8424242424242424,0.8424242424242424
NFATC3,TRIM21,0.8424242424242424,0.8424242424242424
NR4A3,RUNX3,0.8424242424242424,0.8424242424242424
PRDM1,SIRT2,0.8424242424242424,0.8424242424242424
ASXL1,STAT5A,0.8303030303030303,0.8303030303030303
BACH2,NR4A2,0.8303030303030303,0.8303030303030303
BCL2,KLF2,0.8303030303030303,0.8303030303030303
CBLB,TET2,0.8303030303030303,0.8303030303030303
CREM,STAT3,0.8303030303030303,0.8303030303030303
PRDM1,ZEB2,0.8303030303030303,0.8303030303030303
BRD7,CBLB,0.8181818181818182,0.8181818181818182
FOXP1,JUNB,0.8181818181818182,0.8181818181818182
HDAC1,RUNX1,0.8181818181818182,0.8181818181818182
IRF4,STAT5A,0.8181818181818182,0.8181818181818182
MYC,RBPJ,0.8181818181818182,0.8181818181818182
BHLHE40,MDM2,0.806060606060606,0.806060606060606
HAVCR2,HDAC2,0.806060606060606,0.806060606060606
HAVCR2,TBX21,0.806060606060606,0.806060606060606
KLF7,TCF7,0.806060606060606,0.806060606060606
