feature,mean_group1,mean_group2,delta_mean,effect_size
CCR7.1,0.5685948437740573,0.3422174707896285,0.22637737298442884,0.38663057746967244
IL7RA,2.4198862827887555,2.0214077511033537,0.3984785316854018,0.3650110450094021
CAR,2.502536118853276,1.5708550409982804,0.9316810778549958,0.32558492332711964
TCRab,3.5567796016963835,3.3370531334922537,0.21972646820412978,0.31755546329896456
TCRgd,1.3469788731024557,1.1044165768262435,0.24256229627621217,0.25665581065171444
CD45RA,1.9045874695451854,1.7115482242692988,0.19303924527588667,0.19882833396447536
CD70.1,1.690164929620905,1.4967774264709697,0.19338750314993525,0.18073186603470373
Tim3,2.100517137597225,1.926517514693253,0.1739996229039722,0.1759821978847686
KLRG1.1,1.8637776104813277,1.7404510341558737,0.12332657632545407,0.15134930464773358
LAG3.1,1.8562146546396268,1.6941536536296133,0.16206100101001342,0.14154946320955175
CD25,1.7544272487044053,1.6210178930309376,0.13340935567346768,0.12067465200115739
OX40,2.1150168709230885,1.9822867679693483,0.13273010295374021,0.11888520716141546
Fas,3.6344581170262074,3.5223646216171987,0.1120934954090087,0.10634418784599874
CD69.1,1.5382363677948225,1.4437855319170285,0.09445083587779401,0.09857886172177259
CD103,1.4163159026248404,1.3192702013224016,0.09704570130243884,0.09415792224062182
TIGIT.1,1.7002701700060792,1.6084868346925691,0.09178333531351002,0.08800247215946161
CX3CR1.1,2.332354420279254,2.2265426234344097,0.10581179684484443,0.07874382594628711
CD27.1,4.51946792038942,4.457851511661918,0.0616164087275024,0.07186944103659053
CTLA4.1,1.751866689367314,1.6819191692345,0.06994752013281413,0.06264603740525877
CD161,1.3018907091029364,1.2642747152287954,0.03761599387414094,0.0394226060834941
PD1,3.1075759935903524,3.095381932591462,0.012194060998890421,0.012888081508709702
41BB,2.3127406708765887,2.304490040133288,0.008250630743300569,0.007859046261124008
CD62L,1.8991935763566294,1.9154742683302635,-0.01628069197363402,-0.01735718067474325
CD8A.1,3.5456377051166785,3.575587487515861,-0.029949782399182556,-0.028337033408636754
2B4,2.480869543505928,2.5101120118883467,-0.029242468382418618,-0.028438523490039
CD28.1,4.095570809110439,4.123371434643711,-0.02780062553327234,-0.030443685960052976
CD45RO,4.433942273696058,4.4615407506190605,-0.027598476923002657,-0.03581117725423322
CD16,1.441025559756804,1.4863470750090775,-0.04532151525227346,-0.041113227071340734
CD57,2.36644429272579,2.4313978519959556,-0.06495355927016577,-0.062373479878384895
CD39,2.5730026944023323,2.6489306581210417,-0.07592796371870936,-0.06460302522415609
CD14.1,2.175344506341903,2.340403939233855,-0.1650594328919519,-0.14845991249136375
CD4.1,3.5227346233162087,4.8995255837530465,-1.3767909604368378,-0.9997349222366495
