feature,mean_group1,mean_group2,delta_mean,effect_size
CAR,5.5803204985712975,0.013973468113116061,5.566347030458181,4.179268474983768
Fas,3.6538904239404126,3.189296574541761,0.46459384939865167,0.6108600320983544
CD28.1,4.3560682536322,4.088171652686253,0.2678966009459476,0.4093394563314335
CD27.1,4.364092715451752,4.533423329755007,-0.1693306143032549,-0.2317509738550217
TCRab,3.5189956968962095,3.7042567283843804,-0.18526103148817086,-0.27132665102571835
CD16,1.277828668635484,1.6086249018415408,-0.3307962332060568,-0.3549661614805739
CD45RA,1.8191901004237157,2.16326595377957,-0.34407585335585433,-0.3882063734406347
CD70.1,1.1617251564552535,1.4964964250421011,-0.3347712685868476,-0.42579413633996405
TIGIT.1,1.4771642956569222,1.9136135004820964,-0.43644920482517424,-0.47861052871003273
CD45RO,3.7992437073547345,4.238217188886929,-0.4389734815321944,-0.6277856918605489
CD39,1.9748090864459245,2.683129711921131,-0.7083206254752066,-0.775491296685347
CCR7.1,0.3340278717503442,0.9631330448606494,-0.6291051731103052,-0.9911698997757622
IL7RA,2.3579878821285476,3.4610812735094023,-1.1030933913808547,-1.0867399375314115
KLRG1.1,1.2767779517110187,2.496457366994904,-1.2196794152838855,-1.5021560690005147
CD62L,1.2310023790769007,2.623558590712046,-1.3925562116351453,-1.5384085021698153
TCRgd,0.6707247823981214,2.1636928313055694,-1.4929680489074482,-1.6433748184431687
CD69.1,0.8181420854865836,2.258178892555358,-1.4400368070687746,-1.64403277468264
Tim3,1.0366828428337618,2.778420608049922,-1.7417377652161603,-1.8462827280118703
OX40,1.2375624849202314,3.2710063836955903,-2.033443898775359,-1.9367964530610513
CD8A.1,2.4969626959963875,4.516549884574433,-2.019587188578045,-2.0312631727319426
41BB,1.2736400658670612,3.3353800977519628,-2.0617400318849013,-2.064548830050357
LAG3.1,0.7437557933120382,3.0389077117513783,-2.2951519184393403,-2.160757530729692
CD57,1.2705588973253592,3.2649205521874602,-1.994361654862101,-2.199681030152275
CD103,0.4898222123913839,2.4790996764817343,-1.9892774640903506,-2.2203964451909073
PD1,1.8244896403008386,3.7428153103678157,-1.918325670066977,-2.2378608731896192
CD25,0.6378808632149743,2.8685546045464205,-2.2306737413314464,-2.266698282596006
CD161,0.44127622700339564,2.2571298837039033,-1.8158536567005077,-2.267972367115283
2B4,1.2993746401325086,3.4992950373569762,-2.1999203972244676,-2.279460578771815
CTLA4.1,0.6052072408036778,2.9312403838065837,-2.3260331430029058,-2.369320261645526
CX3CR1.1,1.0137624906028264,3.8281594320154575,-2.814396941412631,-2.3713350079881352
CD14.1,0.984234178406045,3.38603887691554,-2.401804698509495,-2.613771960848304
CD4.1,1.7699653866817868,4.63954532989009,-2.8695799432083033,-2.7824178327850095
