feature,mean_group1,mean_group2,delta_mean,effect_size
CCR7.1,0.39832842454283246,0.24753939180506662,0.15078903273776584,0.2996570066350554
IL7RA,1.7134167958766027,1.626896477814988,0.08652031806161475,0.08655740786608193
CAR,5.319456156688996,5.376970290849606,-0.05751413416061002,-0.022572731752827525
TCRgd,0.8521182047411171,0.8946115506894013,-0.042493345948284245,-0.04998330706866624
PD1,2.1338926320113236,2.338541490777391,-0.2046488587660673,-0.18128829774179459
CD103,0.6489823349340735,0.8607453397630549,-0.21176300482898136,-0.24524424758699853
CX3CR1.1,1.2876143964125037,1.5919197468036057,-0.30430535039110196,-0.27768614385343277
CD161,0.6159383825186697,0.8499863244904518,-0.23404794197178203,-0.2902147600826484
CD69.1,1.1976024230842173,1.4912772069828273,-0.29367478389861,-0.30452935437598927
LAG3.1,1.0511239560666243,1.3614170407628379,-0.31029308469621353,-0.31496583594457594
CD25,0.9410464473707334,1.2602718678277416,-0.3192254204570082,-0.3294022899294087
TCRab,3.4500390047862797,3.6895466113416284,-0.23950760655534875,-0.3536636956633116
CD27.1,4.557526408740731,4.899007534126634,-0.3414811253859025,-0.37320322029729086
OX40,1.4108093116676619,1.784772258488428,-0.37396294682076614,-0.37665618735855966
CTLA4.1,0.9156645271012525,1.2752227600375148,-0.3595582329362623,-0.3866710464351763
TIGIT.1,1.6827579888535524,2.1313281523085386,-0.4485701634549861,-0.38783682755029597
Tim3,1.514401952876856,1.9576340692117062,-0.44323211633485027,-0.4108332926423916
41BB,1.9595003660170691,2.425927579309453,-0.4664272132923839,-0.4567854854504721
CD70.1,2.0251070798070927,2.645253596829005,-0.6201465170219125,-0.4980091506721898
Fas,4.207270531758408,4.710494005054584,-0.5032234732961758,-0.514642994273435
CD8A.1,2.8548635627439896,3.4392657448441653,-0.5844021821001757,-0.5470752320083492
KLRG1.1,1.5144824462690543,1.9493378529118794,-0.4348554066428252,-0.5715213406711437
CD57,1.5671389050941256,2.1407096378257133,-0.5735707327315878,-0.6099804676236257
CD14.1,1.237974218795676,1.902788077769019,-0.664813858973343,-0.668500695322916
2B4,1.7565151628021252,2.401809405626699,-0.6452942428245738,-0.676894295032773
CD45RO,4.663231921486458,5.201060538351002,-0.5378286168645436,-0.6770641575153491
CD16,1.5595262735845201,2.454950554519409,-0.8954242809348887,-0.6774827296174554
CD45RA,2.0836905144423943,2.7417367179969223,-0.658046203554528,-0.7143018114910694
CD62L,1.6781154190981022,2.3461097572530143,-0.667994338154912,-0.7361378227397914
CD28.1,4.448999611242352,5.269832401301241,-0.8208327900588888,-0.9322521912388336
CD39,2.3221269040263803,3.864641276409985,-1.5425143723836046,-1.112552024174793
CD4.1,3.697213403710719,5.6882143656783795,-1.9910009619676603,-1.3138548847363052
