celltype_new,Control,CL_No NINT,CL_NINT
CD4+ Control,0.1831993640137797,0.048907882241215575,0.031040533931705073
CD4+ EOMEShi,0.08453316844801696,0.1916170249503583,0.06771957078334916
CD4+ Eff PRDM1hi,0.12428230721667698,0.3451178451178451,0.3086504991225799
CD4+ Mem BCL2hi,0.015193004151576716,0.00703617370284037,0.028652800552343143
CD4+ Mem Patient 2,0.03745252186202632,0.039670206336873,0.3067805874399471
CD4+ Prolif,0.010555604628566381,0.07083657083657084,0.031011766059664568
CD8+ Active,0.025748608780143095,0.030907364240697573,0.013003078162308335
CD8+ Memory,0.29180284427170744,0.22666839333506,0.17758407410603838
CD8+ Prolif,0.08099991166858052,0.029439696106362774,0.013261989010672881
CD8+ TEMRA,0.1462326649589259,0.009798843132176466,0.022295100831391503
