gene,mean_group1,mean_group2,delta_mean,effect_size,pct_group1,pct_group2
RPS26,2.926918250037798,2.4799030914583238,0.4470151585794744,0.8164207865833251,0.9978759558199044,0.9939175489975605
XIST,0.173038592260325,0.0030991682704468474,0.16993942398987816,0.6958193656833157,0.2451146983857232,0.0058571750394232945
HOPX,0.24023299772883774,0.023337930047232235,0.21689506768160552,0.6115560070844449,0.24001699235343787,0.03739580986708715
CCL5,1.9864205067861513,1.4325452944759602,0.5538752123101911,0.5411120725469002,0.9027187765505722,0.7855372831718965
MGST3,0.27727423344617724,0.12175200788461861,0.15552222556155865,0.46855695715799656,0.38530161427357834,0.23338589772471446
IFI44L,0.09259634578106095,0.001752868738415828,0.09084347704264512,0.46662474454594566,0.13041631265930348,0.003604415408875872
ENSG00000289474,0.6722676097128303,0.2318724104467375,0.4403951992660928,0.41014483379089955,0.3041631265930317,0.12953367875647745
UTS2,0.10457269474206508,0.025962557500634992,0.0786101372414301,0.39861818869950527,0.17969413763806158,0.04753322820455063
S100A4,2.6556345208155423,2.4465503574453638,0.20908416337017854,0.3969932812101805,0.9961767204758092,0.9945933768867248
ATP8A1,0.4045029814538328,0.24275844169662422,0.16174453975720857,0.39447067282388076,0.5280373831775766,0.3985131786438236
LGALS1,1.1596113748926635,0.8447908822727752,0.3148204926198883,0.38950506299688487,0.7672047578589786,0.6927235863933305
IFI44,0.08706561733845886,0.01820187128694113,0.06886374605151772,0.386329530772644,0.14613423959218322,0.04190132912818203
LGALS3,0.17773086417213646,0.07073941692411267,0.10699144724802379,0.3697005892786321,0.25148683092607993,0.11714350078846654
ALOX5AP,0.12621447316691917,0.03639333828698621,0.08982113487993296,0.36292303323117203,0.16949872557349094,0.0637530975444922
MIR3667HG,0.18213613746852833,0.08408483386607374,0.09805130360245459,0.36092450092925554,0.28971962616822233,0.16625366073440073
AOAH,0.43746284336186464,0.2673460429373994,0.17011680042446525,0.35431740313195315,0.48300764655905337,0.36337012840728783
HSPA1B,0.1921321522535821,0.061036857486102276,0.13109529476747983,0.3472606980103214,0.18819031435853711,0.07434106780806517
TXNIP,1.8362305769979708,1.5960941095761463,0.24013646742182448,0.3402101467593041,0.9439252336448812,0.9635052939851663
CXCR4,0.629626555946699,0.4652118757338587,0.16441468021284034,0.31813563701392944,0.6656754460492893,0.6030637530975314
IFITM1,1.511769822709932,1.274604435937465,0.237165386772467,0.31581304819816985,0.8810535259133582,0.8900653300293107
CSGALNACT1,0.05685776326386178,0.012916126522524685,0.043941636741337095,0.29812692120981626,0.1006796941376383,0.02455507997296684
PLCG2,0.235739410117545,0.11748025215270783,0.11825915796483719,0.2968960580342058,0.2663551401869131,0.18157242622212333
TMEM123,0.3598999421273463,0.2459985447232139,0.11390139740413238,0.2906356950006859,0.4770603228547201,0.40369452579408205
PDE4D,0.42358746074449144,0.30199083706099694,0.1215966236834945,0.27789170029395666,0.5373831775701003,0.45618382518583095
ANKRD55,0.06077714142918348,0.01651302077035446,0.04426412065882902,0.275843978934555,0.09940526762956693,0.029285875197116392
HERC5,0.1414374850490544,0.07110334228999737,0.07033414275905703,0.2758310677070962,0.22557349192862947,0.1353908537959008
DPP4,0.12252340117158209,0.05921945081048965,0.06330395036109243,0.27517566614408645,0.20178419711129797,0.11421491326875487
IFITM3,0.1635728757208248,0.08353365854011702,0.08003921718070778,0.2743607651184293,0.2285471537807959,0.16062176165803213
IL6ST,0.4341829984642909,0.3185784316841045,0.11560456678018644,0.2689365829329744,0.5556499575191239,0.4902004956070931
