gene,mean_group1,mean_group2,delta_mean,effect_size,pct_group1,pct_group2
IFITM1,2.0958756795165376,1.2177908062835248,0.8780848732330129,1.1971924821928788,0.977213053263241,0.7682263329706088
XIST,0.4137456209164242,0.012013941356073735,0.40173167956035044,1.1634024115790582,0.495873968492192,0.017410228509249177
IFI44L,0.4594710742493635,0.005905518583171656,0.45356555566619183,1.066741079242644,0.45030007501881053,0.008705114254624592
HOPX,0.41729008421659725,0.019175531412693146,0.3981145528039041,1.054702585975003,0.4594898724681755,0.02176278563656147
RPSA,2.3351690987313334,1.724739748071335,0.6104293506599985,0.9919217752815152,0.9883720930231776,0.9031556039172869
IL7R,1.6042376446434452,0.8368020401212115,0.7674356045222337,0.980841634001047,0.9119467366841161,0.5843307943416686
RPS4X,2.7982496208273244,2.3612699424535806,0.43697967837374385,0.9236953260878324,0.9970930232557331,0.9880304678998747
TMEM123,0.7910152604788497,0.32451614230188275,0.466499118176967,0.9100223278029644,0.7776631657914337,0.36017410228509045
LGALS1,1.002302744541454,0.396382092315757,0.605920652225697,0.8812155059056984,0.737153038259563,0.36670293797605874
DUSP1,1.368031652651602,0.5863572959368897,0.7816743567147124,0.8670206871661533,0.740622655663913,0.4678998911860673
HSP90AA1,1.881438546504871,1.292979137052559,0.5884594094523121,0.8474700995072221,0.967273068266995,0.8520130576713686
JUN,1.9684386217388945,1.006369620256467,0.9620690014824276,0.83218654088702,0.8194861215303557,0.6050054406964015
LY6E,1.2796063051317779,0.7623309550198563,0.5172753501119216,0.8176721478187294,0.9201987996998675,0.637649619151243
B2M,4.499146454174451,4.239998941216542,0.2591475129579086,0.8099310153863378,0.9999999999999183,0.9999999999999832
TOB1,0.5497694819543512,0.1713234310696932,0.378446050884658,0.8081988212711257,0.5886159039760372,0.21218715995647483
ID2,0.97959254409687,0.46265000758253144,0.5169425365143385,0.7873915884366627,0.7769129782445472,0.42219804134928923
MGST3,0.4628892223297888,0.14140667475809288,0.3214825475716959,0.7848538936040287,0.5580457614404126,0.17736670293797638
LGALS3,0.332952119673229,0.05640544034669155,0.2765466793265375,0.7729564393118178,0.39984996249066396,0.0696409140369968
VIM,1.6892563982205255,1.156651421647944,0.5326049765725815,0.7681768327924982,0.9544261065265638,0.7801958650707174
RPL41,3.4377196271714436,3.1865160397733887,0.25120358739805493,0.7648215357459801,0.9999062265565575,0.9989118607181552
IFITM2,1.3514175682092118,0.837855538567677,0.5135620296415347,0.7551414579037566,0.9136346586646107,0.6463547334058674
SNHG5,1.0151709668910178,0.5741561325062592,0.44101483438475864,0.7432406140380136,0.8599024756188656,0.504896626768221
RPS18,3.0743439926806015,2.7566543210126175,0.317689671667984,0.7331812504900962,0.9989684921229494,0.995647442872671
IFI44,0.23609514624923805,0.024252218818970658,0.2118429274302674,0.728886669383855,0.3089834958739836,0.036996735582154515
S100A10,1.6054699785728386,1.1428579391385405,0.4626120394342981,0.7235314240065402,0.9602400600149341,0.794341675734482
HLA-C,2.7544907099356926,2.432984221230025,0.3215064887056678,0.7192568364486664,0.9984058514627845,0.9847660500543906
PLP2,0.32551642203410547,0.07523981645930032,0.25027660557480513,0.7140126154375602,0.4189797449362809,0.0979325353645268
IER2,1.1371879971557888,0.6227213620670531,0.5144666350887357,0.7061020053716554,0.7981057764440906,0.550598476604999
TXNIP,2.562463057315624,2.1130790899104186,0.44938396740520536,0.6943509026792016,0.9940922730681871,0.9455930359085808
CAPG,0.25580043896633936,0.04442239252371799,0.21137804644262137,0.693610177785595,0.34377344336086535,0.0609357997823722
S100A6,1.5629380263938635,1.1367004621955732,0.4262375641982903,0.6873388251312013,0.9631470367591193,0.7921653971708259
SNHG3,0.42684947253514205,0.14828029505234316,0.27856917748279886,0.6872692899439069,0.5239122280570772,0.19151251360174137
GADD45B,0.538413755365101,0.2026600138241115,0.3357537415409896,0.6845013309628827,0.5617029257314843,0.24047878128400482
RPL32,2.9978030430698763,2.7143737545355937,0.2834292885342826,0.6815879313446025,0.9988747186795885,0.994559303590843
RPL30,3.1349637550940797,2.880239169762363,0.2547245853317168,0.676178842344427,0.9997186796698359,0.9978237214363271
CSGALNACT1,0.19788620763073317,0.02035606163880753,0.17753014599192563,0.6673131706673037,0.2721305326331628,0.02829162132752991
EIF2AK2,0.498388124904669,0.19122511179636756,0.3071630131083014,0.6665961715367605,0.5566391597900004,0.22850924918389598
IFI6,0.5802389598334684,0.22096722199803737,0.35927173783543104,0.6609042397956059,0.5726744186046993,0.26224156692056605
TIMP1,0.329952057290695,0.08071256700373948,0.24923949028695552,0.6607263422554366,0.39581770442614667,0.09684439608269872
XAF1,0.6828808997177628,0.32005429464490165,0.36282660507286113,0.6590043912898074,0.6507876969242554,0.3525571273122941
DNAJB1,1.156799471206726,0.6580754215505917,0.49872404965613426,0.655793072582097,0.7918229557389163,0.5636561479869356
HSPA1B,0.7361815050244491,0.23775744106506277,0.4984240639593863,0.6557513267678242,0.4862153038260227,0.17301414581066407
RPS12,3.4285087069756326,3.1801605653485563,0.2483481416270763,0.6518326404869392,0.9989684921229494,0.9999999999999832
EMP3,1.551649914535066,1.1532630171272746,0.3983868974077913,0.6455112568906475,0.9615528882219855,0.7856365614798576
ANXA1,1.0603930566900235,0.6176838906518481,0.44270916603817534,0.640380065111963,0.8072955738934502,0.5201305767138137
HERC5,0.29342989716564044,0.0649899694788295,0.22843992768681093,0.6398177377353379,0.35033758439612606,0.08813928182807411
CCL5,1.963338141267428,1.407734478349558,0.55560366291787,0.6359108858846861,0.9525506376593476,0.7649619151251247
JUNB,1.6280046855869006,1.1101117488305994,0.5178929367563012,0.6195278837395047,0.9101650412602607,0.7410228509249076
RPL9,2.5150949627187504,2.1857962439670744,0.32929871875167605,0.6132037213145214,0.9959677419354034,0.9532100108813771
HSP90AB1,1.347038556749078,0.9493066611683708,0.3977318955807071,0.6051767910441483,0.9124156039009201,0.7312295973884552
FAU,2.5053270641394354,2.2164109845834394,0.28891607955599596,0.5992021234493697,0.9958739684920426,0.9695321001087979
YWHAQ,0.6405407900771589,0.3489851666375924,0.29155562343956654,0.584609964785407,0.7009564891222897,0.3906420021762758
RPS6,2.8726820990954596,2.6123808042231658,0.2603012948722938,0.5729944469289037,0.9986871717928669,0.9880304678998747
ENSG00000290574,0.24292592492335055,0.07462227654813665,0.1683036483752139,0.5629725821911652,0.35690172543138676,0.10990206746463564
FTL,1.9577194907416897,1.6078739544650105,0.34984553627667925,0.5629064858072572,0.9812453113277559,0.9009793253536308
LYAR,0.7703857412138833,0.4472561417279234,0.3231295994859599,0.5604900547162243,0.7310577644411103,0.45157780195864655
RPL14,2.854491913789304,2.619032850187436,0.2354590636018683,0.5597146856171799,0.9990622655663102,0.9902067464635308
NFKBIA,1.088251909899261,0.6613259657798615,0.42692594411939944,0.5562817466370287,0.7752250562640526,0.5288356909684381
S100A4,2.5211360776915717,2.2066294471362937,0.31450663055527794,0.5494630416362186,0.994654913728352,0.971708378672454
UTS2,0.15001410377351276,0.020634292859721355,0.12937981091379142,0.5492426816395812,0.22149287321830294,0.026115342763873763
RPS13,2.6471018432723254,2.386446116364368,0.26065572690795724,0.5470195472523651,0.9960615153787642,0.9804134929270784
ZFP36,0.7753784535177273,0.44746906359759164,0.32790938992013563,0.5454929881540652,0.7170855213803493,0.4417845484221941
ZFP36L2,1.819699463852119,1.4611694351735836,0.35853002867853534,0.5449846800615319,0.9725243810952005,0.8890097932535223
RPS14,2.929124224400829,2.6908491349406507,0.23827508946017817,0.5434546436508151,0.9985933983495061,0.9880304678998747
CD63,0.3992751426898203,0.1761061610868896,0.2231689816029307,0.5434165573459252,0.5053450862716364,0.2187159956474433
RPS16,2.6156612170975055,2.3680010187421723,0.24766019835533326,0.5403393836521566,0.9977494373592588,0.9825897714907345
RPS23,2.8778623730407116,2.6715733850453605,0.20628898799535111,0.5380763620833713,0.999156039009671,0.9967355821544991
RPS27A,3.174949098088934,2.987460557080178,0.18748854100875612,0.5353861057964594,0.999624906226475,0.9999999999999832
ANKRD55,0.15968431838699357,0.014804446217691888,0.14487987216930168,0.5353227849897326,0.18407726931732799,0.02176278563656147
SRSF7,0.9969882005416006,0.675508227591261,0.3214799729503397,0.5345666854628769,0.8474306076518776,0.6180631120783381
LINC00869,0.38138813239671665,0.16579413987235708,0.21559399252435957,0.5334123508139064,0.48743435858971396,0.20565832426550637
IER5,0.31103922790125876,0.10273819506521957,0.20830103283603918,0.5309474907260395,0.36412228057017354,0.13057671381936908
CD226,0.22211016723808702,0.06079061885178436,0.16131954838630266,0.5295166533649431,0.3052325581395489,0.0794341675734495
TAGLN2,1.2603705246181274,0.9161562711682101,0.3442142534499173,0.5206833989369806,0.8969429857463862,0.7192600652883466
IATPR,0.10254773059983309,0.0025294481559696223,0.10001828244386347,0.5184661495225744,0.14225431357839358,0.004352557127312296
MX1,0.38665437415738896,0.15498494485102018,0.23166942930636877,0.5140300729076616,0.4367029257314848,0.171926006528836
RPS9,2.221965129872104,1.9541302663100895,0.2678348635620147,0.5108390914960499,0.9936234058513831,0.9477693144722369
RPS3A,2.8396077362816583,2.6088235423100916,0.2307841939715667,0.5084536429331526,0.9978432108026196,0.9902067464635308
HSPE1,0.6365886393441759,0.3671211155260629,0.26946752381811295,0.5080702342871152,0.6677606901725623,0.3928182807399319
RPL27,2.1464240643964323,1.8815054092355403,0.26491865516089197,0.5062517464283082,0.9913728432107236,0.9553862894450332
CD40LG,0.11704210325525131,0.011666246734864319,0.105375856520387,0.5061839825108015,0.17235558889722305,0.014145810663764958
RPL18A,2.859436190570811,2.640289301914279,0.2191468886565322,0.5054256080419806,0.9987809452362277,0.9923830250271869
ISG15,0.5938551275582813,0.29708137644698207,0.2967737511112992,0.504949037953668,0.5654538634659168,0.3231773667029368
UBC,2.033412401586865,1.732041548219817,0.30137085336704783,0.504656054433587,0.9880907726930952,0.9292709466811601
MSC-AS1,0.14252846957371643,0.023965872469446974,0.11856259710426945,0.5027717355374655,0.2012378094523616,0.03482045701849836
SNHG16,0.3684049119153054,0.1701617352102997,0.19824317670500569,0.49959215277068764,0.4761815453864099,0.2176278563656152
FKBP5,0.7156170560795152,0.4063263983861769,0.3092906576933383,0.4962306889156902,0.6271567891973309,0.4211099020674612
MYLIP,0.38210423019627315,0.18002648444192262,0.20207774575435053,0.49521534124389577,0.4827456864216706,0.2274211099020679
RPL21,2.6681146570915137,2.4338653856614774,0.23424927143003638,0.4932730962059866,0.9959677419354034,0.9836779107725625
CD48,1.3745408392376433,1.07569783775307,0.2988430014845733,0.49211279934811314,0.9376406601649785,0.7812840043525454
PPP1R15A,0.5729429154085822,0.29819615402675825,0.27474676138182397,0.4901265297895489,0.5522318079520423,0.3014145810663758
RPL35,2.2109192183844435,1.9618120670666934,0.24910715131775008,0.48523384341304693,0.9936234058513831,0.9564744287268613
IRF7,0.28376162682725825,0.11025454181396295,0.17350708501329531,0.48497186286496013,0.3665603900975561,0.15016322089227446
JUND,0.8327300384034461,0.548725376863671,0.2840046615397751,0.4819201151992916,0.7700675168792079,0.5375408052230625
BST2,0.5352624218691546,0.3004045973647251,0.23485782450442955,0.48185926943371615,0.6089647411853334,0.3416757344940136
HSPA1A,0.5097013121946037,0.18519155417997335,0.32450975801463033,0.48097443355613617,0.3476181545386609,0.17083786724700792
RPS15,2.6761770040939314,2.485117335620867,0.19105966847306455,0.46692298955290223,0.9984058514627845,0.9923830250271869
CAMK4,1.005847519173149,0.7150632465432782,0.29078427262987083,0.46588656566604675,0.858214553638371,0.6093579978237137
SYTL2,0.3296722848939872,0.14638309876983482,0.18328918612415238,0.4622137682786149,0.41766691672922873,0.17410228509249215
PLAC8,0.17510616639934456,0.04664808434495627,0.1284580820543883,0.460958311556607,0.24606151537884288,0.05223068552774759
IQGAP1,0.814934960850717,0.5576322769305128,0.2573026839202043,0.45908544251284367,0.7933233308326892,0.5451577801958588
CALM1,2.000525097172542,1.7464061095743837,0.25411898759815843,0.45630213517261636,0.9870592648161263,0.9336235038084723
IL3RA,0.1079794293659982,0.010581745465652923,0.09739768390034528,0.4538938488532347,0.14459864966241456,0.011969532100108812
KANSL1-AS1,0.1817140962313705,0.055543336409177406,0.12617075982219308,0.4535722460936099,0.25843960990247616,0.07834602829162142
RPL23A,2.729488254401446,2.5276591105163355,0.20182914388511053,0.4519885993158404,0.9977494373592588,0.9858541893362186
FXYD5,1.4597837089613979,1.1730254670773548,0.2867582418840431,0.4517225450100942,0.9509564891222138,0.7965179542981381
EIF4A2,0.7943496288585193,0.5484047687808381,0.24594486007768124,0.4508778195163439,0.78647786946735,0.5516866158868271
CYBA,1.4053883664110072,1.131909944134498,0.2734784222765092,0.4500880763484971,0.9514253563390178,0.7997823721436222
EIF1AX,0.39116823680317836,0.2038150979275142,0.18735313887566415,0.4499716174903675,0.5001875468867918,0.2546245919477697
RPL10A,2.342382338193115,2.1118721802638314,0.23051015792928364,0.4468969998185274,0.994186046511548,0.9662676822633137
OAS1,0.19233949435564424,0.06077906583142541,0.13156042852421884,0.4454526479170884,0.257126781695424,0.08596300326441796
APRT,0.7215881406009623,0.48622769154289275,0.23536044905806958,0.44522446427045603,0.7549699924981172,0.49619151251359656
PTMA,2.5093828624903147,2.307889837269613,0.20149302522070167,0.4441870191688776,0.9974681170291764,0.9858541893362186
GNAQ,0.1585612296145605,0.04293027764235398,0.11563095197220653,0.44403213401104924,0.2280570142535617,0.056583242655059894
SH3YL1,0.20522100600835563,0.07195579369671279,0.13326521231164284,0.44159505363305157,0.284696174043519,0.0979325353645268
RPLP2,3.071448522236022,2.9052815078938568,0.1661670143421654,0.44126294186630344,0.9987809452362277,0.9967355821544991
EIF3E,0.9519645634442053,0.6979572026392306,0.25400736080497477,0.4409191350699915,0.8447111777944141,0.6289445048966186
H3-3B,1.8516093286436484,1.5673622951034005,0.28424703354024783,0.44056001130250705,0.9777756939234059,0.8922742110990064
RPL11,3.01403053647832,2.84524064307849,0.16878989339982997,0.43910310792231866,0.999156039009671,0.995647442872671
