gene,mean_group1,mean_group2,delta_mean,effect_size,pct_group1,pct_group2
SNHG5,1.2183914139072163,0.4782638054739055,0.7401276084333108,1.374290453023321,0.9035250463821751,0.7641681901279866
TSC22D3,0.6575407946015835,0.1799850125270059,0.4775557820745776,1.1257466805488925,0.7949907235621426,0.360755636806827
CXCR4,0.8050179387998143,0.3233991534941205,0.4816187853056938,1.0029658213238937,0.8497217068645522,0.6575258988421816
TXNIP,1.2538490075620654,0.678028570628418,0.5758204369336474,0.9962829462168625,0.9443413729127856,0.8458257160268317
ZFP36L2,1.008328037338786,0.5563559967218183,0.4519720406169676,0.9599858799152857,0.9267161410018402,0.8543570993296961
CCL5,1.2079143757303215,0.49720752257242284,0.7107068531578986,0.9553805313097604,0.8395176252318995,0.6014625228519298
DDIT4,0.2827404127723774,0.03835701149136546,0.24438340128101194,0.9212996120819187,0.518552875695735,0.09993906154783631
IL7R,0.46828701433071884,0.10006181581014767,0.3682251985205712,0.8915658617240532,0.5779220779220776,0.18220597196831076
HOPX,0.2907694629331178,0.014648067505046434,0.27612139542807135,0.8158128063992838,0.35714285714285765,0.025594149908592333
RPS26,2.3854068044035674,1.9666723306818723,0.41873447372169514,0.808016394420769,0.997217068645622,0.9859841560024611
BTG1,1.2262956676217602,0.8421950047964905,0.3841006628252698,0.7862323278238003,0.9721706864563837,0.9512492382693704
RPL34,2.560127131841315,2.2474777550957965,0.3126493767455183,0.7695617082904651,0.9953617810760488,0.9939061547836924
XIST,0.17181892012325314,0.009908165769969456,0.1619107543532837,0.7506971011506253,0.32838589981447125,0.017672151127361372
RPS23,2.6140887855477284,2.315041500190924,0.29904728535680425,0.7413525097089876,0.9962894248608354,0.9939061547836924
PIK3IP1,0.3170564036001747,0.10083353749263636,0.21622286610753833,0.7322481933114487,0.5658627087198518,0.2937233394271781
PARP8,0.9867898339904744,0.6363167748896713,0.35047305910080306,0.7277630518676793,0.9452690166975722,0.9006703229738171
RPS4X,2.494799402946207,2.174978259743395,0.31982114320281196,0.7028513253088521,0.9944341372912622,0.989031078610627
RPS18,2.833978778734414,2.5179018779873625,0.3160769007470514,0.701032974964705,0.9953617810760488,0.9939061547836924
RPL32,2.6247932053391634,2.3316291701934166,0.29316403514574674,0.684548117904253,0.9953617810760488,0.9939061547836924
LRRC8C,0.7112384980342001,0.4464806869063073,0.2647578111278928,0.6547718229344281,0.8821892393320833,0.7964655697745447
LGALS3,0.22431448342312274,0.05755178498410589,0.16676269843901687,0.6193394460670401,0.40538033395176387,0.15295551492991985
IFITM1,1.4996970096226665,1.1033047704749184,0.3963922391477481,0.6174524622892084,0.9415584415584258,0.9140767824497469
DUSP2,0.7378815954719519,0.4329270416027527,0.3049545538691992,0.6070747914120148,0.8191094619665943,0.7239488117001973
RPS24,2.635596954843106,2.392414365326551,0.24318258951655514,0.6032769209576766,0.997217068645622,0.9932967702620592
RPS28,2.308510854030433,2.0833440670839494,0.22516678694648373,0.6019003912286148,0.997217068645622,0.9914686166971597
RPL18A,2.676093839524032,2.4364028026932267,0.23969103683080517,0.596893356113259,0.9962894248608354,0.9932967702620592
RPS6,2.744715326237127,2.5003270692090362,0.24438825702809064,0.5932574395658736,0.997217068645622,0.9957343083485919
RPL39L,0.2561195276083988,0.10925497553831584,0.14686455207008295,0.5899602158117884,0.5157699443413752,0.35709932967702795
RPS9,2.1750308662339135,1.9583428434340513,0.2166880227998622,0.5839956995245177,0.9916512059369024,0.9920780012187929
FKBP5,0.5545830548253113,0.310771068440423,0.24381198638488832,0.5809481605835867,0.7356215213358,0.6112126751980606
RPL35A,2.2036647450245317,1.9727800696642166,0.2308846753603151,0.5804152753913903,0.9953617810760488,0.985374771480828
LY6E,1.2172978234276237,0.9538991429004082,0.2633986805272155,0.5803258894572623,0.9564007421150115,0.9421084704448728
NIBAN1,0.7358456753635584,0.4984966189124625,0.23734905645109589,0.5773532327006915,0.8784786641929369,0.8196221815966053
SARAF,1.2143468855547515,0.965406211357973,0.24894067419677846,0.5741533861973929,0.9740259740259569,0.964046313223667
