gene,mean_group1,mean_group2,delta_mean,effect_size,pct_group1,pct_group2
RPS4Y1,1.1759707508697905,0.24005892762895203,0.9359118232408385,1.5417438828080232,0.8185840707964533,0.1857541899441345
DDX3Y,0.6918416768436988,0.16066791584168713,0.5311737610020116,0.9803798070174017,0.6194690265486704,0.149441340782123
MT-CO1,3.8185275834033328,3.279783101675901,0.5387444817274316,0.9569080527836687,0.9999999999999889,1.0000000000000075
ENSG00000289474,1.4494744474124344,0.41013982926769527,1.0393346181447392,0.8111557189781106,0.6150442477876086,0.18156424581005626
UTY,0.4163695391626868,0.10937118497387026,0.30699835418881655,0.6949089169925787,0.43141592920354044,0.13128491620111726
PLCG2,0.4861262598191875,0.15708699734681086,0.32903926247237664,0.6533126256311941,0.4535398230088502,0.18994413407821276
USP9Y,0.28413979082945084,0.06587499650651206,0.21826479432293877,0.6130434240427969,0.3384955752212394,0.08100558659217871
MT-ATP8,2.507417255425624,2.152479309492953,0.3549379459326709,0.6045456665083057,0.9889380530973343,1.0000000000000075
RPSA2,1.1622415862269704,0.7804673474868552,0.3817742387401152,0.5753888647727681,0.8185840707964533,0.7611731843575474
NR4A2,0.9800265365422517,0.5983651206086179,0.3816614159336338,0.5624062732591263,0.7256637168141546,0.6061452513966522
MT-ND4L,2.842620559704686,2.555815404372663,0.286805155332023,0.5615570465041014,0.997787610619458,1.0000000000000075
IFITM3,0.2590943327125897,0.06627858602084641,0.19281574669174328,0.5583274678371294,0.3030973451327438,0.10195530726256975
HSPA1B,0.5264472499399506,0.16452286821304637,0.3619243817269042,0.5460891928951878,0.3495575221238943,0.1298882681564245
MT-CO2,3.616711075664393,3.3776788427052735,0.23903223295911946,0.5452680575571602,0.9999999999999889,1.0000000000000075
MT-ND6,0.722532670227831,0.40858878619044964,0.3139438840373813,0.5167550724345619,0.6238938053097323,0.49581005586592497
MT-CYB,3.1455511877466837,2.8845522503123524,0.26099893743433134,0.5157062244849022,0.995575221238927,1.0000000000000075
DNAJB1,1.1832652536415023,0.8135085415429394,0.36975671209856287,0.5152007524708372,0.8075221238937987,0.7541899441340837
TXLNGY,0.19112926960671509,0.046983081810100254,0.14414618779661484,0.4968746685473643,0.2522123893805313,0.06424581005586588
ENSG00000289901,2.43664772314451,1.9152084385510864,0.5214392845934235,0.4787839423819898,0.9778761061946797,0.9678770949720744
FOXP1,0.7903982130347742,0.5206159305203706,0.2697822825144036,0.4398923060911565,0.6548672566371652,0.5782122905027972
JUNB,1.695255305215617,1.3208634979238023,0.37439180729181465,0.43870039813098205,0.8915929203539738,0.8463687150838052
H1-4,1.205297617189924,0.8902106775557227,0.3150869396342012,0.4217081751755455,0.8119469026548606,0.7513966480446982
ZNF331,0.6290771989845518,0.3880816379721085,0.24099556101244335,0.41202735060019224,0.5575221238938046,0.4469273743016787
MT-CO3,3.5702834949714712,3.3832741244709448,0.18700937050052646,0.40645182359625526,0.997787610619458,1.0000000000000075
HLA-DQA2,0.08656805639234096,0.011163521632298869,0.07540453476004208,0.3899180478152645,0.12389380530973465,0.01675977653631285
PDE4B,0.28727935007595806,0.13064659512564838,0.15663275495030968,0.3833352216751678,0.30752212389380573,0.17597765363128526
AHNAK,0.6522864166471779,0.42948818226470226,0.22279823438247565,0.3800977927926647,0.5907079646017684,0.5027932960893887
BTG2,0.5980117204438834,0.395852285370634,0.2021594350732494,0.3770696719639219,0.5840707964601757,0.5000000000000032
TC2N,0.44600781693225444,0.2690548031157681,0.17695301381648632,0.37506628379196033,0.47566371681416,0.36033519553072824
HSPA1A,0.28677952314161226,0.10384836611165293,0.18293115702995932,0.374429261434728,0.22123893805309763,0.1117318435754189
CREM,0.5716472664031826,0.3647942885571375,0.20685297784604512,0.3731452784105655,0.5398230088495573,0.4315642458100585
IL7R,0.44021774763370713,0.24861092197711387,0.19160682565659326,0.37190670359903116,0.4137168141592926,0.294692737430169
KDM5D,0.12611544642005218,0.03419088066966211,0.09192456575039007,0.37159848727781336,0.17256637168141614,0.050279329608938515
EIF1AY,0.1203925870172913,0.031124913123843412,0.08926767389344789,0.36738414921025264,0.16150442477876126,0.04608938547486031
FYN,1.2719132852943775,1.042482090919438,0.22943119437493942,0.36344029714010134,0.8761061946902573,0.8701117318435819
RPL39L,0.0711899522785424,0.012430774865793777,0.05875917741274862,0.3624762863912902,0.1194690265486727,0.020949720670391057
ARL4C,1.0075727145033537,0.7779383728448767,0.22963434165847707,0.36007912590935287,0.7809734513274277,0.7402234636871562
ZFY,0.0824532065021282,0.014112768976784535,0.06834043752534366,0.3595089002499623,0.12389380530973465,0.020949720670391057
ITGA4,0.8980450278718174,0.6681152571799812,0.22992977069183618,0.35790352657963204,0.716814159292031,0.6703910614525187
MT-ND2,2.1853721354301086,1.980250281549575,0.2051218538805335,0.35424432794196653,0.9823008849557415,0.9888268156424657
ZFP36,0.9729242781229387,0.7166995007353955,0.25622477738754323,0.35419363971803663,0.7013274336283145,0.6955307262569882
GRK5,0.4021971294581785,0.23227657244968278,0.1699205570084957,0.35189564777721816,0.42256637168141653,0.28491620111731975
SEPTIN9,0.5185840753047957,0.33744294173612793,0.18114113356866773,0.3495257333774659,0.519911504424779,0.4413407821229077
MT-ND5,2.1181562958374136,1.9103952269957865,0.20776106884162715,0.34563949385818854,0.9734513274336178,0.9944134078212367
RPL28,3.3441339364331175,3.2315016934628007,0.11263224297031682,0.34536088302731655,0.9999999999999889,1.0000000000000075
RPL38,2.1737553114487738,2.0048749440344737,0.16888036741430001,0.3444687846018979,0.9845132743362724,0.9958100558659294
DDIT4,0.5185158713294584,0.3353933672084437,0.18312250412101472,0.34428528556189875,0.49778761061946974,0.42737430167598023
RPS29,2.913668452204647,2.7708555921290023,0.14281286007564464,0.34283617132498284,0.997787610619458,1.0000000000000075
TALAM1,1.1156736792963091,0.8467694466549128,0.2689042326413963,0.34180388043655063,0.7632743362831803,0.7472067039106199
CCDC91,0.375900729849404,0.2215014706646794,0.15439925918472458,0.33828777275147415,0.39380530973451383,0.305865921787711
BRD7,0.7191430310640244,0.5228202387413007,0.19632279232272376,0.3311440022388085,0.6460176991150415,0.57960893854749
CAMK4,0.7671429697928868,0.5658224415602198,0.201320528232667,0.3306034910788774,0.6570796460176961,0.6103351955307305
PARD6G,0.09485306556763946,0.021741019182826202,0.07311204638481326,0.327128008852547,0.11061946902654879,0.03072625698324021
CSRNP1,0.27263250605984524,0.14945589188764966,0.12317661417219558,0.32464847261899793,0.3185840707964606,0.2304469273743025
NFKBIZ,0.4372737423264551,0.2811592871087167,0.15611445521773842,0.3195457858730865,0.4623893805309741,0.3812849162011195
ANXA6,0.28265968242589395,0.16040171520465787,0.12225796722123608,0.3169262034651517,0.3318584070796465,0.23184357541899525
IL32,1.6793706739391807,1.4397778494303253,0.23959282450885544,0.30904369610517873,0.8960176991150356,0.9329608938547557
BCL11B,0.9574067433599615,0.7678723475551491,0.18953439580481235,0.30531993592463447,0.7676991150442422,0.7513966480446982
PAK2,0.5029349428094414,0.35282077550048063,0.15011416730896077,0.3027725064092551,0.5265486725663717,0.451117318435757
RPL39,2.7598527882315573,2.6254342674561544,0.13441852077540295,0.30218083009113894,0.995575221238927,0.9972067039106222
RPS28,2.6270906043872104,2.4896291042478182,0.13746150013939218,0.2994590179499269,0.9911504424778652,1.0000000000000075
HOOK2,0.133796274780643,0.05434485063510237,0.07945142414554063,0.28979563608558817,0.15929203539823028,0.08798882681564239
GBP5,0.6871011273538984,0.5199534131876168,0.1671477141662816,0.28804636923642957,0.632743362831856,0.5865921787709537
RPS27,3.5246118394203467,3.4199995400868106,0.10461229933353611,0.28442713858921487,0.9999999999999889,1.0000000000000075
RCAN3,0.28992550015626456,0.17202641189369688,0.11789908826256768,0.2833188037671021,0.3097345132743367,0.24581005586592275
RPL36,2.24167590151506,2.117619909924904,0.12405599159015601,0.28278029087993256,0.9933628318583961,0.9986033519553149
RAB37,0.14938436573852457,0.06923841366649167,0.0801459520720329,0.28043457932947335,0.185840707964602,0.11452513966480438
NCL,1.026075192354202,0.8557807145768509,0.17029447777735107,0.2801083472650691,0.7964601769911441,0.7849162011173242
RPL34,3.1819322653326307,3.0747860107136726,0.1071462546189581,0.27954978878404874,0.9999999999999889,1.0000000000000075
RNASET2,0.3392458739116344,0.2222558192367949,0.1169900546748395,0.2782296616621621,0.4048672566371687,0.31843575418994574
MGAT5,0.10477672068700408,0.038787200600228326,0.06598952008677575,0.27767381160730037,0.13053097345132758,0.06424581005586588
RPS21,2.4362759932517233,2.304566475355251,0.13170951789647223,0.2774878629987922,0.9867256637168034,0.9972067039106222
FRYL,0.2297858990024947,0.13169727248122695,0.09808862652126774,0.2773613204130975,0.2898230088495579,0.20111731843575475
UTRN,0.8231340798236795,0.6569732662468616,0.1661608135768179,0.2772054091047923,0.6924778761061908,0.7039106145251447
HSPH1,0.3481263810241004,0.22370870449782315,0.12441767652627722,0.2761952752131081,0.376106194690266,0.30446927374301824
HDAC4,0.15696292626048206,0.07576857499489426,0.0811943512655878,0.27348274199946,0.19247787610619493,0.11592178770949711
HSPA6,0.1414295059159679,0.04236680959848059,0.0990626963174873,0.27275116974039226,0.11061946902654879,0.03212290502793295
ABCA5,0.119164551420621,0.048029469730230846,0.07113508169039015,0.27095162872871364,0.14159292035398247,0.06983240223463683
EXOC4,0.38715308485221644,0.2625749150848089,0.12457816976740754,0.2706302554376786,0.4269911504424785,0.34916201117318624
APBA2,0.05504005872966452,0.008114240853683511,0.046925817875981005,0.2682253085659302,0.0619469026548673,0.012569832402234637
CEMIP2,0.82696469760203,0.6527147579042534,0.17424993969777658,0.26712107192421675,0.6792035398230053,0.657821229050284
DDX24,1.0381171347389953,0.8733342991590886,0.1647828355799067,0.2668669606147718,0.8097345132743297,0.7988826815642517
SMARCA5,0.44289899689786266,0.3154005981105607,0.12749839878730196,0.2666473236588452,0.4823008849557529,0.42458100558659473
RBL2,0.33791791320838543,0.2250085948213959,0.11290931838698953,0.26480363096689047,0.38274336283185895,0.33519553072625874
TMEM230,0.15625253505447712,0.08141234524655627,0.07484018980792084,0.263556652834894,0.20796460176991177,0.143854748603352
ATP1B3,0.32772408536084635,0.21515920128251667,0.11256488407832968,0.26194609681424014,0.37389380530973504,0.3030726256983255
ZBTB20,0.19490419625251923,0.10171343761967473,0.0931907586328445,0.26062791636542587,0.2146017699115047,0.14525139664804476
ENSG00000289826,0.04555712624010266,0.008146770969498554,0.03741035527060411,0.2585556242472116,0.06858407079646023,0.015363128491620113
ARHGAP15,1.0883694275324942,0.9215832786476953,0.16678614888479892,0.25644917329061323,0.8030973451327369,0.8156424581005647
ENSG00000228655,0.07733570869237931,0.02326803621530235,0.05406767247707696,0.2557883447091876,0.09070796460177,0.0418994413407821
OXNAD1,0.36358219898117244,0.24777515289209068,0.11580704608908177,0.2552416040093643,0.3982300884955758,0.333798882681566
SYTL3,0.5360603440816726,0.4016070202098184,0.13445332387185416,0.2542592332728627,0.5376106194690263,0.49022346368715397
BCAS3,0.23203729332732456,0.13697772977188252,0.09505956355544204,0.25076711354648235,0.2632743362831862,0.19832402234636926
LCK,0.4259777311690342,0.309380787800295,0.11659694336873921,0.2505101126834201,0.4557522123893812,0.428770949720673
RPL36A,2.189547911189934,2.063108018533843,0.1264398926560908,0.24885313858760125,0.9778761061946797,0.9986033519553149
MIR3667HG,0.07735924500431607,0.02591352799697335,0.05144571700734272,0.24882511540021082,0.09513274336283195,0.03770949720670389
MAP4,0.26378883336852116,0.17008186688483076,0.0937069664836904,0.24684669016213873,0.3274336283185845,0.25418994413407925
AOAH,0.25622854261506556,0.15821461450099536,0.0980139281140702,0.24672129659774636,0.29646017699115085,0.216480446927375
CCDC7,0.11897633231295128,0.055235523478919094,0.06374080883403219,0.2448019974120757,0.15265486725663735,0.08798882681564239
CHN2,0.18493734285322969,0.1032463067822171,0.08169103607101258,0.2445429439732294,0.22787610619469056,0.13966480446927376
ENSG00000285646,0.07520268285111027,0.02218768674299264,0.053014996108117635,0.24422693763480874,0.08185840707964609,0.03491620111731842
ETS1,0.9494028242008904,0.8051539471067024,0.144248877094188,0.24363622755699005,0.7676991150442422,0.7821229050279387
MT-ND4,1.7978223369993405,1.6446682554411605,0.15315408155818,0.24333034623395425,0.940265486725654,0.9678770949720744
MT-ND3,2.0503823891852857,1.90818659469116,0.14219579449412567,0.24187354299175343,0.9845132743362724,0.9902234636871584
ENSG00000267598,0.04521982230108065,0.005308104257701995,0.03991171804337866,0.24073643184544782,0.042035398230088505,0.006983240223463688
PTPRCAP,0.6183575707622722,0.48090916686465235,0.1374484038976198,0.24058112384099506,0.5575221238938046,0.5865921787709537
OSTF1,0.14140869455651767,0.07706189541893206,0.0643467991375856,0.23964441866209357,0.1946902654867259,0.13128491620111726
BEST1,0.07368878731436486,0.023771760189392324,0.049917027124972535,0.23935813399004738,0.08407079646017707,0.03770949720670389
SMYD3,0.3071909847067157,0.20362021902757316,0.10357076567914253,0.23840664958066332,0.3318584070796465,0.28212290502793425
SLC9A9,0.18659229695328722,0.10804661091631713,0.07854568603697008,0.23712732203285236,0.22123893805309763,0.166201117318436
ZC3HAV1,0.5825504428806259,0.4560078999425481,0.12654254293807776,0.23706847196693534,0.5840707964601757,0.5502793296089422
TCF7,0.3948212937383105,0.28008007606909907,0.11474121766921141,0.23626066930706777,0.40044247787610676,0.3756983240223485
SELPLG,0.15852372503983672,0.08915390020868552,0.0693698248311512,0.23598361629734071,0.20796460176991177,0.14525139664804476
NCK2,0.24271405997557355,0.1528086668421335,0.08990539313344004,0.23577080918698828,0.27654867256637206,0.22625698324022425
TLN1,0.35947204194379784,0.2540788797043107,0.10539316223948714,0.23538329110567308,0.3871681415929209,0.36033519553072824
PSTPIP1,0.17103957812435658,0.09864190185777207,0.07239767626658451,0.23504436882832705,0.22123893805309763,0.15363128491620126
SNHG22,0.09096379542854435,0.03356314376453664,0.057400651664007714,0.23498107757263798,0.09292035398230097,0.04888268156424578
DCXR,0.19166931295961162,0.11478227866275219,0.07688703429685943,0.23490866280483108,0.24115044247787643,0.177374301675978
CST7,1.1878771951612108,1.0299981447498976,0.15787905041131323,0.2344030681652378,0.8230088495575152,0.8351955307262632
